2018-02-01	Nosema ceranae disease of the honey bee (Apis mellifera)	[(u'morphometric', 0.010357094), (u'mellifera', 0.009743286), (u'apis', 0.009742611), (u'pesticides', 0.008155705), (u'pesticide', 0.007829853), (u'imidacloprid', 0.006780168), (u'acid', 0.006696223), (u'used', 0.006556746), (u'exposure', 0.006513891), (u'pollen', 0.006071894)]	ceranae pathology research 	
2018-02-01	Specialty oilseed crops provide an abundant source of pollen for pollinators and beneficial insects	[(u'pollinator', 0.013560322), (u'pollen', 0.012486665), (u'species', 0.011637688), (u'gene', 0.008170197), (u'protein', 0.007907462), (u'mellifera', 0.0077373045), (u'insect', 0.007701735), (u'apis', 0.0066482783), (u'crops', 0.0058931964), (u'l', 0.00568145)]	oilseed pollen crops 	
2018-02-01	Reproduction of parasitic mites Varroa destructor in original and new honeybee hosts	[(u'pollen', 0.023371847), (u'virus', 0.012289317), (u'animal', 0.010138201), (u'colony', 0.007296157), (u'environmental', 0.006192459), (u'plant', 0.006158344), (u'mortality', 0.0060220463), (u'system', 0.005950151), (u'pesticide', 0.005815664), (u'species', 0.0056561497)]	host mite reproduction 	
2018-02-01	Characterization of gut bacterial flora of Apis mellifera from north-west Pakistan	[(u'pollen', 0.01276811), (u'mellifera', 0.012347957), (u'foraging', 0.00993689), (u'apis', 0.008761494), (u'gut', 0.007419488), (u'insecticide', 0.0071076597), (u'study', 0.0070498316), (u'protein', 0.0067676506), (u'thiamethoxam', 0.0065342644), (u'used', 0.005766143)]	gut bacteria bacterial 	
2018-02-01	Stress decreases pollen foraging performance in honeybees	[(u'pollen', 0.01276811), (u'mellifera', 0.012347957), (u'foraging', 0.00993689), (u'apis', 0.008761494), (u'gut', 0.007419488), (u'insecticide', 0.0071076597), (u'study', 0.0070498316), (u'protein', 0.0067676506), (u'thiamethoxam', 0.0065342644), (u'used', 0.005766143)]	foraging pollen behaviour 	
2018-02-01	From field to food—will pesticide-contaminated pollen diet lead to a contamination of royal jelly?	[(u'infection', 0.013814841), (u'males', 0.012820839), (u'apis', 0.011822505), (u'phytochemicals', 0.009981867), (u'phytochemical', 0.008928384), (u'consumption', 0.0081429), (u'animal', 0.008007733), (u'nosema', 0.007831082), (u'effects', 0.007501888), (u'infections', 0.007344388)]	used pesticides low 	
2018-02-01	Genomes of the Hymenoptera	[(u'pollen', 0.023371847), (u'virus', 0.012289317), (u'animal', 0.010138201), (u'colony', 0.007296157), (u'environmental', 0.006192459), (u'plant', 0.006158344), (u'mortality', 0.0060220463), (u'system', 0.005950151), (u'pesticide', 0.005815664), (u'species', 0.0056561497)]	genomes needed least 	
2018-01-15	Classical and geometric morphometric methods reveal differences between specimens of Varroa destructor (Mesostigmata: Varroidae) from seven provinces of Iran	[(u'morphometric', 0.010357094), (u'mellifera', 0.009743286), (u'apis', 0.009742611), (u'pesticides', 0.008155705), (u'pesticide', 0.007829853), (u'imidacloprid', 0.006780168), (u'acid', 0.006696223), (u'used', 0.006556746), (u'exposure', 0.006513891), (u'pollen', 0.006071894)]	morphometric geometric used 	
2018-01-07	Nutritional Physiology and Ecology of Honey Bees	[(u'nosema', 0.010187674), (u'species', 0.009248403), (u'colony', 0.008992987), (u'virus', 0.007855113), (u'colonies', 0.00720294), (u'indigenous', 0.006814039), (u'l', 0.0066142622), (u'research', 0.006473381), (u'apis', 0.0063865394), (u'food', 0.0057462617)]	colony food pollen 	
2018-01-02	Determining the minimum number of pollen grains needed for accurate honey bee (Apis mellifera) colony pollen pellet analysis	[(u'pollen', 0.01973856), (u'health', 0.009960729), (u'analysis', 0.0070487377), (u'pesticide', 0.006504786), (u'apis', 0.0059244055), (u'study', 0.0056531774), (u'pesticides', 0.005549019), (u'mellifera', 0.005506605), (u'samples', 0.004898796), (u'species', 0.0048756674)]	pollen floral taxa 	
